elec_pos,depth,rho,cond,groundwater_presence
0.75,0.375,25.55,0.0391,1
2.25,0.375,21.047,0.0475,1
3.75,0.375,177.34,0.005639,0
5.25,0.375,88.893,0.0112,1
6.75,0.375,65.648,0.0152,1
8.25,0.375,55.698,0.018,1
9.75,0.375,54.487,0.0184,1
11.25,0.375,58.367,0.0171,1
12.75,0.375,38.067,0.0263,1
14.25,0.375,44.521,0.0225,1
15.75,0.375,83.753,0.0119,1
17.25,0.375,100.8,0.009921,0
18.75,0.375,54.089,0.0185,1
20.25,0.375,42.987,0.0233,1
21.75,0.375,30.32,0.033,1
23.25,0.375,39.542,0.0253,1
24.75,0.375,40.595,0.0246,1
26.25,0.375,45.353,0.022,1
27.75,0.375,32.797,0.0305,1
29.25,0.375,33.421,0.0299,1
30.75,0.375,34.523,0.029,1
32.25,0.375,45.067,0.0222,1
33.75,0.375,61.962,0.0161,1
35.25,0.375,50.25,0.0199,1
36.75,0.375,62.803,0.0159,1
38.25,0.375,66.746,0.015,1
39.75,0.375,68.816,0.0145,1
41.25,0.375,62.959,0.0159,1
42.75,0.375,60.031,0.0167,1
44.25,0.375,63.391,0.0158,1
45.75,0.375,62.203,0.0161,1
47.25,0.375,55.524,0.018,1
48.75,0.375,69.064,0.0145,1
50.25,0.375,75.913,0.0132,1
51.75,0.375,90.137,0.0111,1
53.25,0.375,94.873,0.0105,1
54.75,0.375,79.149,0.0126,1
56.25,0.375,74.383,0.0134,1
57.75,0.375,87.838,0.0114,1
59.25,0.375,13.944,0.0717,1
60.75,0.375,30.05,0.0333,1
62.25,0.375,48.511,0.0206,1
63.75,0.375,51.437,0.0194,1
65.25,0.375,6.801,0.147,1
66.75,0.375,20.967,0.0477,1
68.25,0.375,13749.0,7.273e-05,0
69.75,0.375,34.221,0.0292,1
71.25,0.375,31.619,0.0316,1
72.75,0.375,54.311,0.0184,1
74.25,0.375,18.88,0.053,1
75.75,0.375,7869.0,0.000127,0
77.25,0.375,127.74,0.007828,0
78.75,0.375,86.138,0.0116,1
80.25,0.375,59.303,0.0169,1
81.75,0.375,81.169,0.0123,1
83.25,0.375,61.347,0.0163,1
84.75,0.375,38.324,0.0261,1
86.25,0.375,40.677,0.0246,1
87.75,0.375,47.697,0.021,1
89.25,0.375,63.798,0.0157,1
90.75,0.375,70.271,0.0142,1
92.25,0.375,87.235,0.0115,1
93.75,0.375,81.266,0.0123,1
95.25,0.375,79.719,0.0125,1
96.75,0.375,71.903,0.0139,1
98.25,0.375,64.269,0.0156,1
99.75,0.375,69.328,0.0144,1
101.25,0.375,95.897,0.0104,1
102.75,0.375,83.56,0.012,1
104.25,0.375,67.622,0.0148,1
105.75,0.375,45.121,0.0222,1
107.25,0.375,53.664,0.0186,1
108.75,0.375,76.732,0.013,1
110.25,0.375,62.814,0.0159,1
111.75,0.375,43.921,0.0228,1
113.25,0.375,41.081,0.0243,1
114.75,0.375,32.752,0.0305,1
116.25,0.375,35.187,0.0284,1
117.75,0.375,40.166,0.0249,1
119.25,0.375,71.482,0.014,1
0.75,1.125,159.8,0.006258,0
2.25,1.125,162.06,0.006171,0
3.75,1.125,55.432,0.018,1
5.25,1.125,51.444,0.0194,1
6.75,1.125,67.888,0.0147,1
8.25,1.125,85.202,0.0117,1
9.75,1.125,108.54,0.009213,0
11.25,1.125,107.63,0.009291,0
12.75,1.125,109.07,0.009168,0
14.25,1.125,74.509,0.0134,1
15.75,1.125,73.884,0.0135,1
17.25,1.125,33.813,0.0296,1
18.75,1.125,38.464,0.026,1
20.25,1.125,48.958,0.0204,1
21.75,1.125,144.06,0.006942,0
23.25,1.125,85.276,0.0117,1
24.75,1.125,65.016,0.0154,1
26.25,1.125,61.697,0.0162,1
27.75,1.125,97.625,0.0102,1
29.25,1.125,54.441,0.0184,1
30.75,1.125,84.842,0.0118,1
32.25,1.125,55.677,0.018,1
33.75,1.125,57.511,0.0174,1
35.25,1.125,37.946,0.0264,1
36.75,1.125,86.086,0.0116,1
38.25,1.125,215.33,0.004644,0
39.75,1.125,263.53,0.003795,0
41.25,1.125,272.96,0.003664,0
42.75,1.125,296.35,0.003374,0
44.25,1.125,126.99,0.007875,0
45.75,1.125,110.11,0.009082,0
47.25,1.125,165.95,0.006026,0
48.75,1.125,93.806,0.0107,1
50.25,1.125,165.0,0.006061,0
51.75,1.125,149.53,0.006688,0
53.25,1.125,85.582,0.0117,1
54.75,1.125,181.8,0.005501,0
56.25,1.125,82.97,0.0121,1
57.75,1.125,193.1,0.005179,0
59.25,1.125,845.55,0.001183,0
60.75,1.125,226.66,0.004412,0
62.25,1.125,141.57,0.007064,0
63.75,1.125,191.87,0.005212,0
65.25,1.125,797.79,0.001253,0
66.75,1.125,3.384,0.2955,1
