elec_pos,depth,rho,cond
0.75,0.375,225.18,0.004441
2.25,0.375,188.92,0.005293
3.75,0.375,200.83,0.004979
5.25,0.375,199.62,0.00501
6.75,0.375,303.02,0.0033
8.25,0.375,883.19,0.001132
9.75,0.375,3176.6,0.000315
11.25,0.375,6674,0.00015
12.75,0.375,1474.2,0.000678
14.25,0.375,64.377,0.0155
15.75,0.375,72.057,0.0139
17.25,0.375,53.93,0.0185
18.75,0.375,109.8,0.009107
20.25,0.375,229.72,0.004353
21.75,0.375,202,0.00495
23.25,0.375,356.39,0.002806
24.75,0.375,564.53,0.001771
26.25,0.375,583.22,0.001715
27.75,0.375,659.07,0.001517
29.25,0.375,327.6,0.003053
30.75,0.375,350.37,0.002854
32.25,0.375,205.84,0.004858
33.75,0.375,159.39,0.006274
35.25,0.375,191.36,0.005226
36.75,0.375,190.69,0.005244
38.25,0.375,169.37,0.005904
39.75,0.375,189.6,0.005274
41.25,0.375,189.84,0.005268
42.75,0.375,107.38,0.009313
44.25,0.375,137.64,0.007265
45.75,0.375,274.04,0.003649
0.75,1.125,217.38,0.0046
2.25,1.125,206.71,0.004838
3.75,1.125,201.27,0.004968
5.25,1.125,151.46,0.006602
6.75,1.125,21.449,0.0466
8.25,1.125,236.45,0.004229
9.75,1.125,153.27,0.006524
11.25,1.125,6.298,0.1588
12.75,1.125,1743.4,0.000574
14.25,1.125,8.867,0.1128
15.75,1.125,111.62,0.008959
17.25,1.125,125.24,0.007985
18.75,1.125,206.25,0.004848
20.25,1.125,28.902,0.0346
21.75,1.125,103.12,0.009697
23.25,1.125,105.57,0.009472
24.75,1.125,104.96,0.009527
26.25,1.125,112.66,0.008876
27.75,1.125,106.1,0.009425
29.25,1.125,104.16,0.009601
30.75,1.125,108.6,0.009208
32.25,1.125,154.81,0.00646
33.75,1.125,136.61,0.00732
35.25,1.125,166.44,0.006008
36.75,1.125,262.55,0.003809
38.25,1.125,106.78,0.009365
39.75,1.125,226.02,0.004424
41.25,1.125,223.63,0.004472
